window_h,lead_h,grade,threshold_mm,AROC,BS,BS_ref,BSS,base_rate,n_points,n_used
6,186,≥13,13,0.684066,0.0112649,0.0111037,-0.0145188,0.0114628,3.60358e+06,
6,186,≥25,25,0.588282,0.00407883,0.00404447,-0.00849454,0.00411701,3.60358e+06,
6,186,AVG,,0.723308,0.0478198,,-0.050629,,,4
6,192,≥0.1,0.1,0.816176,0.141873,0.12712,-0.116056,0.167224,3.60043e+06,
6,192,≥4,4,0.829503,0.0390401,0.0393486,0.00784122,0.0430379,3.60043e+06,
6,192,≥13,13,0.752429,0.0138499,0.0138154,-0.00249756,0.0144077,3.60043e+06,
6,192,≥25,25,0.649351,0.00541265,0.00536793,-0.00833223,0.00549267,3.60043e+06,
6,192,AVG,,0.761865,0.050044,,-0.0297611,,,4
6,198,≥0.1,0.1,0.775567,0.210895,0.121277,-0.738958,0.154934,3.59931e+06,
6,198,≥4,4,0.83112,0.0373409,0.0360662,-0.035344,0.0392658,3.59931e+06,
6,198,≥13,13,0.750603,0.0119112,0.0118977,-0.00113454,0.0123782,3.59931e+06,
6,198,≥25,25,0.621687,0.00423813,0.00420471,-0.00794824,0.00428999,3.59931e+06,
6,198,AVG,,0.744744,0.0660963,,-0.195846,,,4
6,204,≥0.1,0.1,0.786132,0.194492,0.12234,-0.589774,0.15945,3.60336e+06,
6,204,≥4,4,0.830238,0.0434348,0.0409099,-0.0617187,0.0453718,3.60336e+06,
6,204,≥13,13,0.718183,0.0141145,0.0139235,-0.0137211,0.0146069,3.60336e+06,
6,204,≥25,25,0.585318,0.0050983,0.00502077,-0.0154419,0.00514436,3.60336e+06,
6,204,AVG,,0.729968,0.064285,,-0.170164,,,4
6,210,≥0.1,0.1,0.792177,0.143397,0.12033,-0.191693,0.15334,3.5936e+06,
6,210,≥4,4,0.793086,0.0358267,0.0353082,-0.0146844,0.0379722,3.5936e+06,
6,210,≥13,13,0.684806,0.0113074,0.0111342,-0.0155485,0.0114943,3.5936e+06,
6,210,≥25,25,0.590225,0.00409961,0.00405543,-0.010893,0.00412817,3.5936e+06,
6,210,AVG,,0.715073,0.0486577,,-0.0582047,,,4
6,216,≥0.1,0.1,0.795438,0.144969,0.127335,-0.138482,0.16756,3.59048e+06,
6,216,≥4,4,0.814438,0.0396676,0.039453,-0.00544157,0.0431536,3.59048e+06,
6,216,≥13,13,0.741631,0.0139716,0.0138537,-0.008513,0.0144477,3.59048e+06,
6,216,≥25,25,0.637623,0.00543971,0.00538281,-0.0105707,0.0055079,3.59048e+06,
6,216,AVG,,0.747282,0.0510119,,-0.0407518,,,4
6,222,≥0.1,0.1,0.757115,0.209014,0.121425,-0.72134,0.155158,3.58934e+06,
6,222,≥4,4,0.815295,0.0377977,0.0361621,-0.0452297,0.0393713,3.58934e+06,
6,222,≥13,13,0.739351,0.0120239,0.0119307,-0.00781055,0.0124126,3.58934e+06,
6,222,≥25,25,0.613688,0.00427319,0.00421638,-0.0134723,0.00430191,3.58934e+06,
6,222,AVG,,0.731362,0.0657772,,-0.196963,,,4
6,228,≥0.1,0.1,0.768818,0.192045,0.122547,-0.567108,0.15976,3.59335e+06,
6,228,≥4,4,0.818189,0.0435334,0.0410204,-0.0612612,0.0454954,3.59335e+06,
6,228,≥13,13,0.715674,0.0142064,0.0139612,-0.0175623,0.0146465,3.59335e+06,
6,228,≥25,25,0.580358,0.00512365,0.0050345,-0.0177088,0.00515841,3.59335e+06,
6,228,AVG,,0.72076,0.0637271,,-0.16591,,,4
6,234,≥0.1,0.1,0.77548,0.141793,0.120545,-0.176273,0.153651,3.5836e+06,
6,234,≥4,4,0.785139,0.0358102,0.0353999,-0.0115896,0.0380718,3.5836e+06,
6,234,≥13,13,0.680873,0.0113474,0.0111653,-0.01631,0.0115264,3.5836e+06,
6,234,≥25,25,0.592074,0.00411647,0.00406675,-0.0122266,0.00413969,3.5836e+06,
6,234,AVG,,0.708392,0.0482668,,-0.0540998,,,4
6,240,≥0.1,0.1,0.779978,0.144205,0.127568,-0.130422,0.167915,3.58051e+06,
6,240,≥4,4,0.798842,0.0398635,0.03956,-0.00767216,0.0432723,3.58051e+06,
6,240,≥13,13,0.730403,0.0140146,0.0138917,-0.0088503,0.0144873,3.58051e+06,
6,240,≥25,25,0.630849,0.00546432,0.00539779,-0.0123262,0.00552324,3.58051e+06,
6,240,AVG,,0.735018,0.0508869,,-0.0398178,,,4
6,246,≥0.1,0.1,0.741387,0.206764,0.121615,-0.700147,0.155447,3.57936e+06,
6,246,≥4,4,0.792074,0.0379523,0.036259,-0.0466982,0.0394783,3.57936e+06,
6,246,≥13,13,0.727921,0.0120634,0.0119639,-0.00831587,0.0124472,3.57936e+06,
