window_h,lead_h,grade,threshold_mm,AROC,BS,BS_ref,BSS,base_rate,n_points,n_used
6,288,≥13,13,0.701983,0.0142061,,0.0103821,0.0145673,3.56058e+06,
6,288,≥25,25,0.603035,0.00551549,,0.00131558,0.0055536,3.56058e+06,
6,288,AVG,,0.705351,0.0517804,,-0.0023274,,,4
6,294,≥0.1,0.1,0.718785,0.203438,,-0.543473,0.156206,3.5594e+06,
6,294,≥4,4,0.76718,0.038028,,0.00239165,0.0396949,3.5594e+06,
6,294,≥13,13,0.700231,0.0122027,,0.0127051,0.0125164,3.5594e+06,
6,294,≥25,25,0.600821,0.00431011,,0.00205561,0.00433781,3.5594e+06,
6,294,AVG,,0.696754,0.0644948,,-0.13158,,,4
6,300,≥0.1,0.1,0.728277,0.189736,,-0.405481,0.160879,3.56334e+06,
6,300,≥4,4,0.777094,0.0438693,,-0.0023041,0.0458727,3.56334e+06,
6,300,≥13,13,0.688096,0.0143903,,0.0110723,0.0147696,3.56334e+06,
6,300,≥25,25,0.571256,0.00517841,,-0.000749395,0.00520159,3.56334e+06,
6,300,AVG,,0.691181,0.0632934,,-0.0993656,,,4
6,306,≥0.1,0.1,0.72575,0.143784,,-0.0992523,0.154748,3.55362e+06,
6,306,≥4,4,0.728263,0.0365587,,0.00959044,0.0383862,3.55362e+06,
6,306,≥13,13,0.650743,0.0114449,,0.00360718,0.0116214,3.55362e+06,
6,306,≥25,25,0.572812,0.00416117,,-0.00102501,0.00417433,3.55362e+06,
6,306,AVG,,0.669392,0.0489871,,-0.0217699,,,4
6,312,≥0.1,0.1,0.734095,0.147467,,-0.0495273,0.169105,3.5506e+06,
6,312,≥4,4,0.753164,0.0407059,,0.0243508,0.043625,3.5506e+06,
6,312,≥13,13,0.688355,0.0142583,,0.00944643,0.0146077,3.5506e+06,
6,312,≥25,25,0.599332,0.00552991,,0.00144379,0.00556892,3.5506e+06,
6,312,AVG,,0.693737,0.0519904,,-0.00357158,,,4
6,318,≥0.1,0.1,0.706744,0.204594,,-0.550116,0.156469,3.54943e+06,
6,318,≥4,4,0.750164,0.038167,,0.00127051,0.0397996,3.54943e+06,
6,318,≥13,13,0.691679,0.0122536,,0.0113119,0.0125513,3.54943e+06,
6,318,≥25,25,0.598461,0.00432488,,0.00142809,0.00434999,3.54943e+06,
6,318,AVG,,0.686762,0.0648349,,-0.134026,,,4
6,324,≥0.1,0.1,0.716961,0.190975,,-0.412403,0.161197,3.55336e+06,
6,324,≥4,4,0.768809,0.0439489,,-0.00157358,0.0459954,3.55336e+06,
6,324,≥13,13,0.680191,0.014462,,0.00888612,0.0148111,3.55336e+06,
6,324,≥25,25,0.564944,0.00519717,,-0.00157718,0.0052162,3.55336e+06,
6,324,AVG,,0.682726,0.0636457,,-0.101667,,,4
6,330,≥0.1,0.1,0.71866,0.144548,,-0.103442,0.155032,3.54366e+06,
6,330,≥4,4,0.729012,0.0365651,,0.0118969,0.0384865,3.54366e+06,
6,330,≥13,13,0.645122,0.0114817,,0.00317648,0.0116541,3.54366e+06,
6,330,≥25,25,0.567063,0.00417303,,-0.00107372,0.00418607,3.54366e+06,
6,330,AVG,,0.664964,0.0491919,,-0.0223606,,,4
6,336,≥0.1,0.1,0.729777,0.147979,,-0.0513472,0.169473,3.54066e+06,
6,336,≥4,4,0.754927,0.0405213,,0.0312527,0.0437419,3.54066e+06,
6,336,≥13,13,0.686672,0.0142985,,0.00937334,0.0146484,3.54066e+06,
6,336,≥25,25,0.597888,0.00555274,,0.000112875,0.00558456,3.54066e+06,
6,336,AVG,,0.692316,0.0520879,,-0.00265208,,,4
6,342,≥0.1,0.1,0.705602,0.203107,,-0.536007,0.156824,3.53946e+06,
6,342,≥4,4,0.755798,0.0378221,,0.0129338,0.0399106,3.53946e+06,
6,342,≥13,13,0.688961,0.0123047,,0.00993752,0.0125867,3.53946e+06,
6,342,≥25,25,0.579829,0.00434654,,-0.000764585,0.00436225,3.53946e+06,
6,342,AVG,,0.682547,0.0643951,,-0.128475,,,4
